image_path,label,target_person_id
dataset/test\n000028\0012_14.jpg,genuine,n000028
dataset/test\n000020\0011_01.jpg,impostor,n000022
dataset/test\n000006\0512_01.jpg,genuine,n000006
dataset/test\n000019\0183_01.jpg,impostor,n000023
dataset/test\n000015\0009_01.jpg,genuine,n000015
dataset/test\n000007\0009_01.jpg,genuine,n000007
dataset/test\n000031\0190_01.jpg,impostor,n000008
dataset/test\n000026\0215_01.jpg,genuine,n000026
dataset/test\n000003\0214_01.jpg,genuine,n000003
dataset/test\n000023\0376_02.jpg,genuine,n000023
dataset/test\n000024\0133_01.jpg,genuine,n000024
dataset/test\n000030\0205_01.jpg,genuine,n000030
dataset/test\n000022\0442_01.jpg,impostor,n000005
dataset/test\n000033\0165_01.jpg,impostor,n000021
dataset/test\n000018\0077_01.jpg,impostor,n000015
dataset/test\n000025\0080_02.jpg,genuine,n000025
dataset/test\n000004\0013_01.jpg,impostor,n000012
dataset/test\n000005\0221_01.jpg,impostor,n000028
dataset/test\n000016\0301_01.jpg,impostor,n000017
dataset/test\n000020\0048_01.jpg,impostor,n000028
dataset/test\n000022\0290_01.jpg,impostor,n000025
dataset/test\n000023\0309_01.jpg,impostor,n000002
dataset/test\n000016\0407_01.jpg,impostor,n000027
dataset/test\n000006\0509_01.jpg,genuine,n000006
dataset/test\n000014\0142_01.jpg,genuine,n000014
dataset/test\n000014\0213_01.jpg,impostor,n000023
dataset/test\n000011\0215_01.jpg,impostor,n000007
dataset/test\n000019\0041_01.jpg,genuine,n000019
dataset/test\n000015\0124_01.jpg,genuine,n000015
dataset/test\n000017\0013_01.jpg,genuine,n000017
dataset/test\n000020\0042_01.jpg,impostor,n000026
dataset/test\n000005\0114_01.jpg,impostor,n000015
dataset/test\n000013\0056_01.jpg,impostor,n000015
dataset/test\n000032\0195_01.jpg,genuine,n000032
dataset/test\n000028\0134_01.jpg,impostor,n000023
dataset/test\n000032\0239_01.jpg,genuine,n000032
dataset/test\n000021\0053_01.jpg,impostor,n000003
dataset/test\n000005\0029_01.jpg,genuine,n000005
dataset/test\n000012\0379_01.jpg,impostor,n000002
dataset/test\n000004\0133_01.jpg,genuine,n000004
dataset/test\n000027\0044_01.jpg,genuine,n000027
dataset/test\n000028\0397_02.jpg,impostor,n000020
dataset/test\n000031\0004_01.jpg,genuine,n000031
dataset/test\n000002\0103_01.jpg,impostor,n000012
dataset/test\n000002\0154_01.jpg,impostor,n000012
dataset/test\n000024\0273_01.jpg,genuine,n000024
dataset/test\n000019\0023_01.jpg,genuine,n000019
dataset/test\n000005\0176_02.jpg,genuine,n000005
dataset/test\n000021\0058_01.jpg,genuine,n000021
dataset/test\n000024\0184_02.jpg,impostor,n000031
dataset/test\n000030\0024_03.jpg,genuine,n000030
dataset/test\n000015\0138_02.jpg,impostor,n000011
dataset/test\n000014\0004_01.jpg,genuine,n000014
dataset/test\n000014\0109_01.jpg,impostor,n000013
dataset/test\n000015\0068_01.jpg,genuine,n000015
dataset/test\n000008\0092_01.jpg,genuine,n000008
dataset/test\n000004\0171_03.jpg,genuine,n000004
dataset/test\n000020\0389_01.jpg,genuine,n000020
dataset/test\n000012\0307_01.jpg,genuine,n000012
dataset/test\n000028\0016_04.jpg,genuine,n000028
dataset/test\n000002\0191_01.jpg,genuine,n000002
dataset/test\n000006\0430_01.jpg,genuine,n000006
dataset/test\n000013\0121_01.jpg,genuine,n000013
dataset/test\n000005\0008_01.jpg,impostor,n000028
dataset/test\n000014\0054_01.jpg,impostor,n000024
dataset/test\n000003\0007_01.jpg,genuine,n000003
dataset/test\n000008\0058_01.jpg,impostor,n000031
dataset/test\n000007\0097_01.jpg,genuine,n000007
dataset/test\n000013\0171_01.jpg,impostor,n000015
dataset/test\n000016\0498_01.jpg,impostor,n000019
dataset/test\n000032\0265_03.jpg,genuine,n000032
dataset/test\n000027\0313_02.jpg,impostor,n000023
dataset/test\n000017\0196_01.jpg,impostor,n000012
dataset/test\n000010\0014_01.jpg,genuine,n000010
dataset/test\n000016\0304_01.jpg,impostor,n000032
dataset/test\n000028\0048_01.jpg,genuine,n000028
dataset/test\n000027\0203_05.jpg,genuine,n000027
dataset/test\n000025\0149_01.jpg,genuine,n000025
dataset/test\n000031\0198_01.jpg,impostor,n000028
dataset/test\n000003\0096_02.jpg,impostor,n000006
dataset/test\n000024\0158_01.jpg,impostor,n000026
dataset/test\n000019\0106_01.jpg,impostor,n000030
dataset/test\n000023\0388_01.jpg,genuine,n000023
dataset/test\n000033\0375_01.jpg,genuine,n000033
dataset/test\n000019\0183_01.jpg,genuine,n000019
dataset/test\n000002\0075_01.jpg,genuine,n000002
dataset/test\n000008\0089_01.jpg,impostor,n000030
dataset/test\n000023\0202_02.jpg,impostor,n000031
dataset/test\n000025\0231_02.jpg,impostor,n000030
dataset/test\n000033\0177_02.jpg,impostor,n000032
dataset/test\n000032\0573_01.jpg,impostor,n000013
dataset/test\n000024\0440_01.jpg,impostor,n000025
dataset/test\n000004\0256_02.jpg,impostor,n000027
dataset/test\n000027\0102_01.jpg,genuine,n000027
dataset/test\n000005\0405_01.jpg,impostor,n000024
dataset/test\n000014\0189_01.jpg,genuine,n000014
dataset/test\n000015\0134_01.jpg,impostor,n000011
dataset/test\n000021\0004_01.jpg,impostor,n000032
dataset/test\n000014\0141_01.jpg,impostor,n000004
dataset/test\n000018\0226_01.jpg,impostor,n000014
dataset/test\n000010\0138_01.jpg,genuine,n000010
dataset/test\n000033\0096_01.jpg,impostor,n000021
dataset/test\n000031\0166_01.jpg,impostor,n000007
dataset/test\n000003\0213_01.jpg,impostor,n000004
dataset/test\n000012\0226_01.jpg,genuine,n000012
dataset/test\n000025\0064_01.jpg,genuine,n000025
dataset/test\n000003\0088_03.jpg,impostor,n000018
dataset/test\n000012\0403_01.jpg,genuine,n000012
dataset/test\n000005\0025_01.jpg,impostor,n000007
dataset/test\n000016\0329_01.jpg,impostor,n000006
dataset/test\n000010\0012_01.jpg,impostor,n000031
dataset/test\n000030\0026_01.jpg,impostor,n000002
dataset/test\n000027\0166_01.jpg,impostor,n000020
dataset/test\n000022\0432_01.jpg,genuine,n000022
dataset/test\n000006\0292_01.jpg,genuine,n000006
dataset/test\n000004\0213_01.jpg,genuine,n000004
dataset/test\n000024\0386_01.jpg,genuine,n000024
dataset/test\n000022\0072_01.jpg,genuine,n000022
dataset/test\n000021\0094_02.jpg,genuine,n000021
dataset/test\n000012\0205_02.jpg,impostor,n000020
dataset/test\n000012\0315_02.jpg,impostor,n000002
dataset/test\n000030\0007_01.jpg,impostor,n000027
dataset/test\n000016\0058_01.jpg,genuine,n000016
dataset/test\n000032\0072_02.jpg,impostor,n000023
dataset/test\n000031\0024_01.jpg,genuine,n000031
dataset/test\n000031\0042_01.jpg,genuine,n000031
dataset/test\n000027\0035_01.jpg,impostor,n000007
dataset/test\n000016\0214_01.jpg,impostor,n000018
dataset/test\n000019\0238_01.jpg,impostor,n000016
dataset/test\n000033\0099_01.jpg,impostor,n000016
dataset/test\n000014\0187_01.jpg,impostor,n000033
dataset/test\n000005\0158_01.jpg,impostor,n000016
dataset/test\n000004\0030_01.jpg,impostor,n000005
